test_id,lang_name,answer_no,answer,cognate,morphemic_parse
2,Serbian,28,умро,1,"{'PREF': ['у'], 'ROOT': ['мр'], 'SUFF': ['о']}"
2,Serbian,29,пио,1,"{'ROOT': ['пи'], 'SUFF': ['о']}"
2,Serbian,30,јучерашњем,1,"{'ROOT': ['јучера'], 'SUFF': ['шњ'], 'END': ['ем']}"
2,Serbian,31,зачудили,0.5,"{'PREF': ['за'], 'ROOT': ['чуд'], 'SUFF': ['и', 'л'], 'END': ['и']}"
2,Serbian,32,уступила,1,"{'ROOT': ['уступ'], 'SUFF': ['и', 'л'], 'END': ['а']}"
2,Serbian,33,пулс,1,{'ROOT': ['пулс']}
2,Serbian,34,очи,0.5,"{'ROOT': ['оч'], 'END': ['и']}"
2,Serbian,35,помоћ,1,{'ROOT': ['помоћ']}
2,Serbian,36,леђа,0,"{'ROOT': ['леђ'], 'END': ['а']}"
2,Serbian,37,кожи,1,"{'ROOT': ['кож'], 'END': ['и']}"
2,Serbian,38,поскакивале,0.5,"{'PREF': ['по'], 'ROOT': ['скак'], 'SUFF': ['ива', 'л'], 'END': ['е']}"
2,Serbian,39,гумене,0,"{'ROOT': ['гум'], 'SUFF': ['ен'], 'END': ['е']}"
3,Serbian,0,молитва,1,"{'ROOT': ['мол'], 'SUFF': ['и', 'тв'], 'END': ['а']}"
3,Serbian,1,божанство,1,"{'ROOT': ['бож'], 'SUFF': ['ан', 'ств'], 'END': ['о']}"
3,Serbian,2,наклоности,0.5,"{'PREF': ['на'], 'ROOT': ['клон'], 'SUFF': ['ост'], 'END': ['и']}"
3,Serbian,3,претња,0,"{'ROOT': ['прет'], 'SUFF': ['њ'], 'END': ['а']}"
3,Serbian,4,била,0.5,"{'ROOT': ['би'], 'SUFF': ['л'], 'END': ['а']}"
3,Serbian,5,времена,1,"{'ROOT': ['времен'], 'END': ['а']}"
3,Serbian,6,градом,1,"{'ROOT': ['град'], 'END': ['ом']}"
3,Serbian,7,тишина,0,"{'ROOT': ['тиш'], 'SUFF': ['ин'], 'END': ['а']}"
3,Serbian,8,стубовима,0.5,"{'ROOT': ['стуб'], 'END': ['овима']}"
3,Serbian,9,заштиту,1,"{'ROOT': ['заштит'], 'END': ['у']}"
3,Serbian,10,ишле,0.5,"{'ROOT': ['иш'], 'SUFF': ['л'], 'END': ['е']}"
3,Serbian,11,стазама,0.5,"{'ROOT': ['стаз'], 'END': ['ама']}"
3,Serbian,12,гомилице,0,"{'ROOT': ['гомил'], 'SUFF': ['иц'], 'END': ['е']}"
3,Serbian,13,града,1,"{'ROOT': ['град'], 'END': ['а']}"
3,Serbian,14,град,1,{'ROOT': ['град']}
3,Serbian,15,одасвуда,0.5,"{'PREF': ['ода'], 'ROOT': ['свуд'], 'SUFF': ['а']}"
3,Serbian,16,град,1,{'ROOT': ['град']}
3,Serbian,17,богови,1,"{'ROOT': ['бог'], 'END': ['ови']}"
3,Serbian,18,снажном,0,"{'ROOT': ['снаж'], 'SUFF': ['н'], 'END': ['ом']}"
3,Serbian,19,крчмом,0,"{'ROOT': ['крчм'], 'END': ['ом']}"
3,Serbian,20,господара,1,"{'ROOT': ['господар'], 'END': ['а']}"
3,Serbian,21,заповест,0.5,{'ROOT': ['заповест']}
3,Serbian,22,коњима,1,"{'ROOT': ['коњ'], 'END': ['има']}"
3,Serbian,23,носили,0.5,"{'ROOT': ['нос'], 'SUFF': ['и', 'л'], 'END': ['и']}"
3,Serbian,24,града,1,"{'ROOT': ['град'], 'END': ['а']}"
3,Serbian,25,питати,0.5,"{'ROOT': ['пит'], 'SUFF': ['а'], 'END': ['ти']}"
3,Serbian,26,града,1,"{'ROOT': ['град'], 'END': ['а']}"
3,Serbian,27,господару,1,"{'ROOT': ['господар'], 'END': ['у']}"
3,Serbian,28,великога,0.5,"{'ROOT': ['велик'], 'END': ['ога']}"
3,Serbian,29,града,1,"{'ROOT': ['град'], 'END': ['а']}"
3,Serbian,30,ватра,0,"{'ROOT': ['ватр'], 'END': ['а']}"
3,Serbian,31,нове,1,"{'ROOT': ['нов'], 'END': ['е']}"
3,Serbian,32,дима,1,"{'ROOT': ['дим'], 'END': ['а']}"
3,Serbian,33,приведоше,1,"{'PREF': ['при'], 'ROOT': ['вед'], 'SUFF': ['ош'], 'END': ['е']}"
3,Serbian,34,скочи,1,"{'ROOT': ['скоч'], 'SUFF': ['и']}"
4,Serbian,0,долажаше,0,"{'PREF': ['до'], 'ROOT': ['лаж'], 'SUFF': ['аш'], 'END': ['е']}"
4,Serbian,1,мисли,0.5,"{'ROOT': ['мисл'], 'SUFF': ['и']}"
4,Serbian,2,лагана,0,"{'ROOT': ['лаган'], 'END': ['а']}"
4,Serbian,3,крв,1,{'ROOT': ['крв']}
4,Serbian,4,разума,1,"{'PREF': ['раз'], 'ROOT': ['ум'], 'END': ['а']}"
4,Serbian,5,градских,1,"{'ROOT': ['град'], 'SUFF': ['ск'], 'END': ['их']}"
4,Serbian,6,ропском,1,"{'ROOT': ['роп'], 'SUFF': ['ск'], 'END': ['ом']}"
4,Serbian,7,вешти,0.5,"{'ROOT': ['вешт'], 'END': ['и']}"
4,Serbian,8,невештиjи,0,"{'PREF': ['не'], 'ROOT': ['вешт'], 'SUFF': ['иj'], 'END': ['и']}"
4,Serbian,9,љубави,1,"{'ROOT': ['љубав'], 'END': ['и']}"
4,Serbian,10,хоће,0.5,"{'ROOT': ['хоћ'], 'END': ['е']}"
4,Serbian,11,детињства,0.5,"{'ROOT': ['дет'], 'SUFF': ['ињ', 'ств'], 'END': ['а']}"
4,Serbian,12,разуме,0.5,"{'PREF': ['раз'], 'ROOT': ['ум'], 'END': ['е']}"
4,Serbian,13,одрећи,0.5,"{'PREF': ['од'], 'ROOT': ['рећ'], 'SUFF': ['и']}"
4,Serbian,14,воjничка,1,"{'ROOT': ['воj'], 'SUFF': ['нич', 'к'], 'END': ['а']}"
4,Serbian,15,самовољу,1,"{'ROOT': ['сам', 'вољ'], 'LINK': ['о'], 'END': ['у']}"
4,Serbian,16,заповест,0.5,{'ROOT': ['заповест']}
4,Serbian,17,боравак,0,"{'ROOT': ['бор'], 'SUFF': ['ав', 'ак']}"
4,Serbian,18,послушност,0.5,"{'PREF': ['по'], 'ROOT': ['слуш'], 'SUFF': ['н', 'ост']}"
4,Serbian,19,граница,0.5,"{'ROOT': ['границ'], 'END': ['а']}"
4,Serbian,20,рањено,0.5,"{'ROOT': ['рањ'], 'SUFF': ['ен'], 'END': ['о']}"
4,Serbian,21,бекству,1,"{'ROOT': ['бек'], 'SUFF': ['ств'], 'END': ['у']}"
4,Serbian,22,загонетка,0.5,"{'PREF': ['за'], 'ROOT': ['гонет'], 'SUFF': ['к'], 'END': ['а']}"
4,Serbian,23,мучио,0.5,"{'ROOT': ['муч'], 'SUFF': ['и', 'о']}"
4,Serbian,24,истину,0.5,"{'ROOT': ['истин'], 'END': ['у']}"
4,Serbian,25,равнодушан,0.5,"{'ROOT': ['равн', 'душ'], 'LINK': ['о'], 'SUFF': ['ан']}"
4,Serbian,26,љубави,1,"{'ROOT': ['љубав'], 'END': ['и']}"
4,Serbian,27,миловања,0.5,"{'ROOT': ['мил'], 'SUFF': ['ова', 'њ'], 'END': ['а']}"
4,Serbian,28,раскошноj,1,"{'ROOT': ['раскош'], 'SUFF': ['н'], 'END': ['оj']}"
4,Serbian,29,питање,0.5,"{'ROOT': ['пит'], 'SUFF': ['а', 'њ'], 'END': ['е']}"
4,Serbian,30,слутње,0,"{'ROOT': ['слут'], 'SUFF': ['њ'], 'END': ['е']}"
4,Serbian,31,провалиjа,0.5,"{'PREF': ['про'], 'ROOT': ['вал'], 'SUFF': ['иj'], 'END': ['а']}"
4,Serbian,32,изгубити,0,"{'PREF': ['из'], 'ROOT': ['губ'], 'SUFF': ['и'], 'END': ['ти']}"
4,Serbian,33,равнотеже,0.5,"{'ROOT': ['равн', 'теж'], 'LINK': ['о'], 'END': ['е']}"
4,Serbian,34,воли,0,"{'ROOT': ['вол'], 'SUFF': ['и']}"
4,Serbian,35,схватао,0.5,"{'PREF': ['с'], 'ROOT': ['хват'], 'SUFF': ['а', 'о']}"
4,Serbian,36,наћи,1,"{'ROOT': ['наћ'], 'SUFF': ['и']}"
4,Serbian,37,уобразиље,1,"{'PREF': ['у'], 'ROOT': ['образ'], 'SUFF': ['иљ'], 'END': ['е']}"
4,Serbian,38,сећао,0,"{'ROOT': ['сећ'], 'SUFF': ['а', 'о']}"
4,Serbian,39,грудима,1,"{'ROOT': ['груд'], 'END': ['има']}"
4,Serbian,40,пламен,1,{'ROOT': ['пламен']}
4,Serbian,41,волео,0,"{'ROOT': ['вол'], 'SUFF': ['е', 'о']}"
4,Serbian,42,воли,0,"{'ROOT': ['вол'], 'SUFF': ['и']}"
4,Serbian,43,жалост,0.5,{'ROOT': ['жалост']}
5,Serbian,0,очима,0.5,"{'ROOT': ['оч'], 'END': ['има']}"
5,Serbian,1,зноjа,0.5,"{'ROOT': ['зноj'], 'END': ['а']}"
5,Serbian,2,истргнути,0.5,"{'PREF': ['ис'], 'ROOT': ['трг'], 'SUFF': ['ну'], 'END': ['ти']}"
5,Serbian,3,животу,1,"{'ROOT': ['жив'], 'SUFF': ['от'], 'END': ['у']}"
5,Serbian,4,заволео,0,"{'PREF': ['за'], 'ROOT': ['вол'], 'SUFF': ['е', 'о']}"
5,Serbian,5,главу,0.5,"{'ROOT': ['глав'], 'END': ['у']}"
5,Serbian,6,живот,1,"{'ROOT': ['жив'], 'SUFF': ['от']}"
5,Serbian,7,реч,0.5,{'ROOT': ['реч']}
5,Serbian,8,водоскока,0.5,"{'ROOT': ['вод', 'скок'], 'LINK': ['о'], 'END': ['а']}"
5,Serbian,9,жуђениjа,0,"{'ROOT': ['жуђ'], 'SUFF': ['ениj'], 'END': ['а']}"
5,Serbian,10,богинjа,0.5,"{'ROOT': ['бог'], 'SUFF': ['инj'], 'END': ['а']}"
5,Serbian,11,помисли,0.5,"{'PREF': ['по'], 'ROOT': ['мисл'], 'SUFF': ['и']}"
5,Serbian,12,крвљу,1,"{'ROOT': ['крвљ'], 'END': ['у']}"
5,Serbian,13,животом,1,"{'ROOT': ['жив'], 'SUFF': ['от'], 'END': ['ом']}"
5,Serbian,14,физички,0,"{'ROOT': ['физ'], 'SUFF': ['ич', 'к'], 'END': ['и']}"
5,Serbian,15,зидове,0,"{'ROOT': ['зид'], 'END': ['ове']}"
5,Serbian,16,живети,1,"{'ROOT': ['жив'], 'SUFF': ['е'], 'END': ['ти']}"
5,Serbian,17,умрети,1,"{'PREF': ['у'], 'ROOT': ['мр'], 'SUFF': ['е'], 'END': ['ти']}"
5,Serbian,18,утеху,1,"{'PREF': ['у'], 'ROOT': ['тех'], 'END': ['у']}"
5,Serbian,19,судова,0.5,"{'ROOT': ['суд'], 'END': ['ова']}"
5,Serbian,20,домаћним,1,"{'ROOT': ['дом'], 'SUFF': ['а', 'ћн'], 'END': ['им']}"
5,Serbian,21,живи,1,"{'ROOT': ['жив'], 'SUFF': ['и']}"
5,Serbian,22,ноћи,1,"{'ROOT': ['ноћ'], 'END': ['и']}"
5,Serbian,23,напустивши,0,"{'PREF': ['на'], 'ROOT': ['пуст'], 'SUFF': ['и', 'вши']}"
5,Serbian,24,нареди,0.5,"{'PREF': ['на'], 'ROOT': ['ред'], 'SUFF': ['и']}"
5,Serbian,25,успут,0.5,"{'PREF': ['ус'], 'ROOT': ['пут']}"
5,Serbian,26,оружjа,1,"{'ROOT': ['оруж'], 'SUFF': ['j'], 'END': ['а']}"
5,Serbian,27,оружjа,1,"{'ROOT': ['оруж'], 'SUFF': ['j'], 'END': ['а']}"
5,Serbian,28,мишљу,1,"{'ROOT': ['мишљ'], 'END': ['у']}"
5,Serbian,29,видети,0.5,"{'ROOT': ['вид'], 'SUFF': ['е'], 'END': ['ти']}"
5,Serbian,30,истину,0.5,"{'ROOT': ['истин'], 'END': ['у']}"
5,Serbian,31,нада,1,"{'ROOT': ['над'], 'END': ['а']}"
5,Serbian,32,мисао,1,"{'ROOT': ['мис'], 'SUFF': ['а', 'о']}"
5,Serbian,33,врати,1,"{'ROOT': ['врат'], 'SUFF': ['и']}"
5,Serbian,34,претпоставку,0.5,"{'PREF': ['прет', 'по'], 'ROOT': ['став'], 'SUFF': ['к'], 'END': ['у']}"
5,Serbian,35,синоћ,0.5,"{'PREF': ['си'], 'ROOT': ['ноћ']}"
5,Serbian,36,видети,1,"{'ROOT': ['вид'], 'SUFF': ['е'], 'END': ['ти']}"
6,Serbian,0,лица,1,"{'ROOT': ['лиц'], 'END': ['а']}"
6,Serbian,1,вече,1,"{'ROOT': ['веч'], 'END': ['е']}"
6,Serbian,2,поцрнела,1,"{'PREF': ['по'], 'ROOT': ['црн'], 'SUFF': ['е', 'л'], 'END': ['а']}"
6,Serbian,3,весла,1,"{'ROOT': ['весл'], 'END': ['а']}"
6,Serbian,4,грађанке,1,"{'ROOT': ['градђ'], 'SUFF': ['ан', 'к'], 'END': ['е']}"
6,Serbian,5,клупама,0,"{'ROOT': ['клуп'], 'END': ['ама']}"
6,Serbian,6,људи,0.5,"{'ROOT': ['људ'], 'END': ['и']}"
6,Serbian,7,квадрата,1,"{'ROOT': ['квадрат'], 'END': ['а']}"
6,Serbian,8,месец,0.5,{'ROOT': ['месец']}
6,Serbian,9,златан,1,"{'ROOT': ['злат'], 'SUFF': ['ан']}"
6,Serbian,10,приметим,1,"{'PREF': ['при'], 'ROOT': ['мет'], 'SUFF': ['им']}"
6,Serbian,11,причу,0.5,"{'ROOT': ['прич'], 'END': ['у']}"
6,Serbian,12,вече,1,"{'ROOT': ['веч'], 'END': ['е']}"
6,Serbian,13,причао,0.5,"{'ROOT': ['прич'], 'SUFF': ['а', 'о']}"
6,Serbian,14,причао,0.5,"{'ROOT': ['прич'], 'SUFF': ['а', 'о']}"
6,Serbian,15,лице,1,"{'ROOT': ['лиц'], 'END': ['е']}"
6,Serbian,16,прича,0.5,"{'ROOT': ['прич'], 'END': ['а']}"
6,Serbian,17,причама,0.5,"{'ROOT': ['прич'], 'END': ['ама']}"
6,Serbian,18,одговорио,0.5,"{'PREF': ['од'], 'ROOT': ['говор'], 'SUFF': ['и', 'о']}"
6,Serbian,19,пише,1,"{'ROOT': ['пиш'], 'SUFF': ['е']}"
6,Serbian,20,извор,0.5,{'ROOT': ['извор']}
6,Serbian,21,тргао,0,"{'ROOT': ['трг'], 'SUFF': ['а', 'о']}"
6,Serbian,22,корачајући,0,"{'ROOT': ['корач'], 'SUFF': ['а', 'јући']}"
6,Serbian,23,потврдити,1,"{'PREF': ['по'], 'ROOT': ['тврд'], 'SUFF': ['и'], 'END': ['ти']}"
6,Serbian,24,испричали,0.5,"{'PREF': ['ис'], 'ROOT': ['прич'], 'SUFF': ['а', 'л'], 'END': ['и']}"
6,Serbian,25,потврдити,1,"{'PREF': ['по'], 'ROOT': ['тврд'], 'SUFF': ['и'], 'END': ['ти']}"
6,Serbian,26,поквареним,0,"{'PREF': ['по'], 'ROOT': ['квар'], 'SUFF': ['ен'], 'END': ['им']}"
6,Serbian,27,позвао,0.5,"{'PREF': ['по'], 'ROOT': ['зв'], 'SUFF': ['а', 'о']}"
6,Serbian,28,нагли,0.5,"{'ROOT': ['нагл'], 'END': ['и']}"
6,Serbian,29,појављивао,1,"{'PREF': ['по'], 'ROOT': ['јављ'], 'SUFF': ['ива', 'о']}"
6,Serbian,30,говори,1,"{'ROOT': ['говор'], 'SUFF': ['и']}"
6,Serbian,31,присуствовао,1,"{'PREF': ['при'], 'ROOT': ['суств'], 'SUFF': ['ова', 'о']}"
6,Serbian,32,балкону,1,"{'ROOT': ['балкон'], 'END': ['у']}"
6,Serbian,33,потајно,1,"{'PREF': ['по'], 'ROOT': ['тај'], 'SUFF': ['н'], 'END': ['о']}"
6,Serbian,34,тајна,0.5,"{'ROOT': ['тај'], 'SUFF': ['н'], 'END': ['а']}"
